date,category,tags,expense,income,amount_clp,description,day
2025-06-20,Food & Drinks,alcohol,24750.0,0.0,24750.0,none,Friday
2025-06-20,Food & Drinks,restaurants,9467.0,0.0,9467.0,none,Friday
2025-06-21,Transport,taxi,3396.0,0.0,3396.0,none,Saturday
2025-06-21,Education,AI,790.0,0.0,790.0,iCloud,Saturday
2025-06-22,Food & Drinks,coffee & tea,5500.0,0.0,5500.0,none,Sunday
2025-06-22,Food & Drinks,restaurants,13105.0,0.0,13105.0,none,Sunday
2025-06-22,Transport,taxi,6428.0,0.0,6428.0,none,Sunday
2025-06-22,Leisure,music,4.84,0.0,4555.0,none,Sunday
2025-06-23,Food & Drinks,restaurants,12469.0,0.0,12469.0,none,Monday
2025-06-24,Transport,taxi,4395.0,0.0,4395.0,none,Tuesday
2025-06-24,Transport,travel card,4000.0,0.0,4000.0,none,Tuesday
2025-06-24,Food & Drinks,restaurants,7817.0,0.0,7817.0,none,Tuesday
2025-06-25,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Wednesday
2025-06-25,Food & Drinks,restaurants,12256.0,0.0,12256.0,none,Wednesday
2025-06-25,Health & Personal Care,hair,31000.0,0.0,31000.0,Hair Brushing,Wednesday
2025-06-26,Food & Drinks,restaurants,9390.0,0.0,9390.0,none,Thursday
2025-06-26,Food & Drinks,groceries,23106.0,0.0,23106.0,none,Thursday
2025-06-26,Food & Drinks,coffee & tea,4500.0,0.0,4500.0,none,Thursday
2025-06-27,Food & Drinks,coffee & tea,12100.0,0.0,12100.0,none,Friday
2025-06-28,Food & Drinks,restaurants,14329.0,0.0,14329.0,none,Saturday
2025-06-29,Food & Drinks,coffee & tea,13860.0,0.0,13860.0,none,Sunday
2025-06-29,Food & Drinks,restaurants,22219.0,0.0,22219.0,none,Sunday
2025-06-29,Food & Drinks,coffee & tea,13420.0,0.0,13420.0,none,Sunday
2025-06-30,Food & Drinks,restaurants,16573.0,0.0,16573.0,none,Monday
2025-07-01,Food & Drinks,coffee & tea,43200.0,0.0,43200.0,none,Tuesday
2025-07-02,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Wednesday
2025-07-02,Health & Personal Care,gym/exercise,158000.0,0.0,158000.0,VFIT gym,Wednesday
2025-07-02,Food & Drinks,restaurants,7817.0,0.0,7817.0,none,Wednesday
2025-07-03,Transport,taxi,3399.0,0.0,3399.0,none,Thursday
2025-07-03,Food & Drinks,restaurants,9390.0,0.0,9390.0,none,Thursday
2025-07-03,Food & Drinks,restaurants,11719.0,0.0,11719.0,none,Thursday
2025-07-03,Transport,travel card,10000.0,0.0,10000.0,none,Thursday
2025-07-04,Food & Drinks,restaurants,17710.0,0.0,17710.0,none,Friday
2025-07-04,Leisure,books,2.17,0.0,2018.0,Kindle ebook,Friday
2025-07-04,Health & Personal Care,manicure/pedicure,32340.0,0.0,32340.0,none,Friday
2025-07-04,Transport,taxi,7381.0,0.0,7381.0,none,Friday
2025-07-04,Home & Utilities,utilities,16477.0,0.0,16477.0,none,Friday
2025-07-04,Home & Utilities,rent,887205.0,0.0,887205.0,none,Friday
2025-07-05,Food & Drinks,restaurants,14329.0,0.0,14329.0,none,Saturday
2025-07-05,Food & Drinks,restaurants,7817.0,0.0,7817.0,none,Saturday
2025-07-06,Food & Drinks,restaurants,22544.0,0.0,22544.0,none,Sunday
2025-07-06,Health & Personal Care,medicine,11491.0,0.0,11491.0,Lexapro,Sunday
2025-07-06,Education,AI,5.0,0.0,4649.0,Medium,Sunday
2025-07-06,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Sunday
2025-07-07,Food & Drinks,restaurants,9467.0,0.0,9467.0,none,Monday
2025-07-08,Food & Drinks,restaurants,6900.0,0.0,6900.0,none,Tuesday
2025-07-09,Food & Drinks,restaurants,7817.0,0.0,7817.0,none,Wednesday
2025-07-09,Leisure,events,8000.0,0.0,8000.0,Pool de Lelas,Wednesday
2025-07-09,Education,AI,23.8,0.0,22597.0,ChatGPT,Wednesday
2025-07-09,Food & Drinks,restaurants,32505.0,0.0,32505.0,none,Wednesday
2025-07-10,Transport,taxi,6398.0,0.0,6398.0,none,Thursday
2025-07-10,Transport,travel,14700.0,0.0,14700.0,Turbus to Viña,Thursday
2025-07-10,Home & Utilities,internet,26387.0,0.0,26387.0,none,Thursday
2025-07-10,Food & Drinks,restaurants,15164.0,0.0,15164.0,none,Thursday
2025-07-11,Education,AI,2990.0,0.0,2990.0,Bear Pro,Friday
2025-07-11,Transport,taxi,12054.0,0.0,12054.0,none,Friday
2025-07-11,Food & Drinks,restaurants,29100.0,0.0,29100.0,Good Nick ,Friday
2025-07-11,Transport,travel,7050.0,0.0,7050.0,none,Friday
2025-07-12,Food & Drinks,groceries,63725.0,0.0,63725.0,none,Saturday
2025-07-13,Health & Personal Care,medical services,163942.0,0.0,163942.0,Contact lenses,Sunday
2025-07-13,Food & Drinks,restaurants,14329.0,0.0,14329.0,none,Sunday
2025-07-13,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Sunday
2025-07-13,Home & Utilities,cat,62568.0,0.0,62568.0,Leyla litter,Sunday
2025-07-14,Home & Utilities,gastos comunes,224711.0,0.0,224711.0,none,Monday
2025-07-15,Food & Drinks,restaurants,11709.0,0.0,11709.0,none,Tuesday
2025-07-15,Health & Personal Care,medical services,136259.0,0.0,136259.0,Invisalign,Tuesday
2025-07-15,Transport,taxi,2514.0,0.0,2514.0,none,Tuesday
2025-07-15,Food & Drinks,coffee & tea,5030.0,0.0,5030.0,none,Tuesday
2025-07-17,Food & Drinks,restaurants,20269.0,0.0,20269.0,none,Thursday
2025-07-17,Food & Drinks,coffee & tea,13900.0,0.0,13900.0,none,Thursday
2025-07-17,Transport,travel card,10000.0,0.0,10000.0,none,Thursday
2025-07-17,Transport,taxi,7493.0,0.0,7493.0,none,Thursday
2025-07-17,Food & Drinks,restaurants,7817.0,0.0,7817.0,none,Thursday
2025-07-18,Transport,taxi,5971.0,0.0,5971.0,none,Friday
2025-07-18,Transport,taxi,3690.0,0.0,3690.0,none,Friday
2025-07-18,Food & Drinks,restaurants,49170.0,0.0,49170.0,none,Friday
2025-07-18,Food & Drinks,alcohol,12199.0,0.0,12199.0,none,Friday
2025-07-19,Transport,taxi,5395.0,0.0,5395.0,none,Saturday
2025-07-19,Food & Drinks,restaurants,14329.0,0.0,14329.0,none,Saturday
2025-07-20,Food & Drinks,alcohol,4000.0,0.0,4000.0,none,Sunday
2025-07-20,Food & Drinks,restaurants,7817.0,0.0,7817.0,none,Sunday
2025-07-20,Food & Drinks,coffee & tea,7800.0,0.0,7800.0,none,Sunday
2025-07-20,Transport,taxi,6096.0,0.0,6096.0,none,Sunday
2025-07-21,Education,AI,990.0,0.0,990.0,iCloud,Monday
