Date,Account,Category,Tags,Expense amount,Income amount,Currency,In main currency,Main currency,Description
3/22/25,DBS Savings,Food & Drinks,restaurants,"9,804",0,CLP,"9,804",CLP,
3/22/25,DBS Savings,Clothing & Footwear,accessories,"44,500",0,CLP,"44,500",CLP,Butterfly ring
3/22/25,DBS Savings,Transport,taxi,"5,993",0,CLP,"5,993",CLP,
3/23/25,DBS Savings,Leisure,events,18.00,0,USD,"16,700.00",CLP,Dan and Phil Terrible Influence Tour!!!
3/23/25,DBS Savings,Food & Drinks,groceries,"37,170",0,CLP,"37,170",CLP,
3/24/25,DBS Savings,Leisure,music,4.89,0,USD,"4,540.00",CLP,Spotify
3/24/25,DBS Savings,Food & Drinks,coffee & tea,"4,400",0,CLP,"4,400",CLP,
3/25/25,DBS Savings,Leisure,books,"13,600",0,CLP,"13,600",CLP,
3/25/25,DBS Savings,Food & Drinks,coffee & tea,"5,280",0,CLP,"5,280",CLP,
3/25/25,DBS Savings,Transport,travel card,"4,000",0,CLP,"4,000",CLP,
3/26/25,DBS Savings,Food & Drinks,groceries,"2,000",0,CLP,"2,000",CLP,
3/27/25,DBS Savings,Food & Drinks,coffee & tea,"3,960",0,CLP,"3,960",CLP,
3/27/25,DBS Savings,Transport,taxi,"4,297",0,CLP,"4,297",CLP,
3/27/25,DBS Savings,Health & Personal Care,,"80,000",0,CLP,"80,000",CLP,Psychiatrist
3/27/25,DBS Savings,Transport,taxi,"5,905",0,CLP,"5,905",CLP,
3/28/25,DBS Savings,Home & Utilities,gastos comunes,"178,261",0,CLP,"178,261",CLP,
3/28/25,DBS Savings,Clothing & Footwear,accessories,"6,000",0,CLP,"6,000",CLP,Nespresso pod earrings
